sender,sender_type,receiver,receiver_type,date,amount,risk,risk_type,total_donasi_sender,jumlah_transaksi_sender,rata_rata_donasi_sender,std_donasi_sender,jumlah_donasi_30hari_sender,selang_waktu_rata2_sender,receiver_unik_per_sender,degree_centrality_sender,sender_unik_per_receiver,degree_centrality_receiver,max_donasi_satu_receiver,proporsi_donasi_terbesar_per_sender,flag_donasi_melebihi_batas
Dagel Mansur,individual,Maya Pradipta,individual,2024-06-17,153304109,False,,153304109,1,153304109.0,,1.0,,1,1,1,1,153304109,1.0,False
CV Natsir,corporation,"Tgk. Olivia Oktaviani, S.Gz",individual,2024-08-31,1310126555,True,proxy,3045650726,3,1015216908.6666666,483736901.4071477,1.0,46.0,3,3,1,1,1310126555,0.43016309907625305,False
Utama Firmansyah,individual,Partai Nasional Demokrat,political-party,2025-10-17,44907796,False,,44907796,1,44907796.0,,1.0,,1,1,434,434,44907796,1.0,False
PT Megantara Rahmawati,corporation,Ajiman Maheswara,individual,2024-03-19,18632286130,True,self_funded,18632286130,1,18632286130.0,,1.0,,1,1,1,1,18632286130,1.0,False
Ghani Utama,individual,Partai Keadilan Indonesia,political-party,2024-09-22,78260275,False,,439694327,2,219847163.5,200234097.9709072,1.0,412.0,2,2,422,422,361434052,0.8220120884115932,False
Latika Wibowo,individual,Puji Prabowo,individual,2025-05-29,93069192,True,smurfing,93069192,1,93069192.0,,1.0,,1,1,1,1,93069192,1.0,False
Rika Nugroho,individual,Partai Nasional Demokrat,political-party,2024-11-10,161498485,False,,161498485,1,161498485.0,,1.0,,1,1,434,434,161498485,1.0,False
Perum Nasyiah,corporation,Cahyadi Hidayanto,individual,2025-06-15,18516309377,True,self_funded,18922563888,2,9461281944.0,12805742603.40903,1.0,89.0,2,2,1,1,18516309377,0.9785306836111342,False
Puti Wulandari,individual,Partai Nasional Demokrat,political-party,2025-12-25,83121226,False,,83121226,1,83121226.0,,1.0,,1,1,434,434,83121226,1.0,False
Perum Tamba Mangunsong,corporation,Partai Harapan Bangsa,political-party,2025-08-28,67678046,True,smurfing,67678046,1,67678046.0,,1.0,,1,1,436,436,67678046,1.0,False
Warji Aryani,individual,Ana Kuswandari,individual,2025-06-21,1533531634,True,self_funded,1533531634,1,1533531634.0,,1.0,,1,1,1,1,1533531634,1.0,False
Perum Prasetya (Persero) Tbk,corporation,Partai Persatuan,political-party,2025-11-26,86706088,True,smurfing,1911720162,2,955860081.0,1229169364.6913302,1.0,104.0,2,2,415,415,1825014074,0.9546449895107608,False
PT Hariyah Budiman Tbk,corporation,"Drs. Karsana Salahudin, S.T.",individual,2025-12-19,23375877753,True,self_funded,23375877753,1,23375877753.0,,1.0,,1,1,1,1,23375877753,1.0,False
Titin Mangunsong,individual,KH. Hartaka Nugroho,individual,2025-12-05,1194996823,True,self_funded,1194996823,1,1194996823.0,,1.0,,1,1,1,1,1194996823,1.0,False
"Tgk. Jefri Hutagalung, S.Sos",individual,Satya Hardiansyah,individual,2025-12-20,1799381633,False,,1799381633,1,1799381633.0,,1.0,,1,1,1,1,1799381633,1.0,False
PD Andriani Sitompul,corporation,Caraka Widiastuti,individual,2024-06-03,54248387,True,smurfing,54248387,1,54248387.0,,1.0,,1,1,1,1,54248387,1.0,False
Perum Siregar Wasita Tbk,corporation,Partai Indonesia Maju,political-party,2025-08-08,416669899,False,,416669899,1,416669899.0,,1.0,,1,1,411,411,416669899,1.0,False
BUMN Mina Permai,corporation,Salman Yulianti,individual,2024-09-17,4927525493,True,illegal_source,163986504139,18,9110361341.055555,9676761529.307306,2.0,35.0,16,16,1,1,29934596541,0.18254304949160033,False
PD Yuniar Mansur,corporation,Himawan Pangestu,individual,2025-05-03,18405808,True,smurfing,18405808,1,18405808.0,,1.0,,1,1,1,1,18405808,1.0,False
UD Usada Budiman,corporation,Margana Mayasari,individual,2024-10-31,16460461959,True,self_funded,16460461959,1,16460461959.0,,1.0,,1,1,1,1,16460461959,1.0,False
KH. Usman Tamba,individual,"Puti Chelsea Padmasari, M.Farm",individual,2024-01-25,1849362771,False,,1849362771,1,1849362771.0,,1.0,,1,1,1,1,1849362771,1.0,False
Tami Permata,individual,Dr. Luthfi Kusmawati,individual,2025-05-18,1376611459,True,self_funded,1376611459,1,1376611459.0,,1.0,,1,1,1,1,1376611459,1.0,False
Wira Pertiwi,individual,Aslijan Wastuti,individual,2024-12-30,2154839800,False,,2154839800,1,2154839800.0,,1.0,,1,1,1,1,2154839800,1.0,False
Perum Suwarno Utami Tbk,organization,Partai Solidaritas Indonesia,political-party,2024-11-25,37418215,True,smurfing,37418215,1,37418215.0,,1.0,,1,1,431,431,37418215,1.0,False
PD Purnawati,corporation,Gawati Wahyuni,individual,2025-08-21,15548217325,True,self_funded,16307772745,5,3261554549.0,6870566800.796198,2.0,136.0,5,5,1,1,15548217325,0.9534237181326383,False
PT Anggraini Halim,corporation,"Natalia Pratiwi, S.IP",individual,2025-01-12,8052678327,True,self_funded,8052678327,1,8052678327.0,,1.0,,1,1,1,1,8052678327,1.0,False
"Cut Paulin Safitri, S.E.I",individual,Partai Demokrat,political-party,2024-05-29,94944805,False,,94944805,1,94944805.0,,1.0,,1,1,429,429,94944805,1.0,False
CV Kusumo (Persero) Tbk,organization,Partai Demokrat,political-party,2025-09-20,53670649,True,smurfing,250678212,2,125339106.0,101354503.88375299,1.0,9.0,2,2,429,429,197007563,0.7858982295597353,False
PD Sinaga Farida (Persero) Tbk,organization,H. Lanjar Setiawan,individual,2025-08-23,1236045243,True,proxy,1236045243,1,1236045243.0,,1.0,,1,1,1,1,1236045243,1.0,False
CV Nuraini Siregar Tbk,corporation,Partai Solidaritas Indonesia,political-party,2024-04-15,244805188,True,proxy,244805188,1,244805188.0,,1.0,,1,1,431,431,244805188,1.0,False
Najib Wibowo,individual,drg. Pandu Pranowo,individual,2024-10-08,1579213366,True,self_funded,1579213366,1,1579213366.0,,1.0,,1,1,1,1,1579213366,1.0,False
CV Waskita,organization,Partai Demokrat,political-party,2024-08-17,477046751,True,proxy,17229394551,4,4307348637.75,7223802486.652244,1.0,178.33333333333334,3,3,429,429,15136840173,0.8785474224409965,False
Purwa Permata,individual,Partai Nasional Demokrat,political-party,2025-06-01,28595325,False,,28595325,1,28595325.0,,1.0,,1,1,434,434,28595325,1.0,False
CV Wacana,corporation,"Tgk. Zaenab Melani, M.Pd",individual,2024-04-24,24308013537,True,self_funded,25029633353,3,8343211117.666667,13826068240.6344,1.0,185.5,3,3,1,1,24308013537,0.9711693812760742,False
"Cut Elisa Nurdiyanti, M.Pd",individual,"Ir. Bakidin Siregar, S.Pt",individual,2024-04-02,1502782916,True,self_funded,1502782916,1,1502782916.0,,1.0,,1,1,1,1,1502782916,1.0,False
UD Maulana Mahendra (Persero) Tbk,corporation,Zelaya Saputra,individual,2025-09-22,3328733849,True,self_funded,3328733849,1,3328733849.0,,1.0,,1,1,1,1,3328733849,1.0,False
UD Permata Wasita (Persero) Tbk,corporation,Cecep Wahyudin,individual,2024-03-01,22048737802,True,self_funded,22048737802,1,22048737802.0,,1.0,,1,1,1,1,22048737802,1.0,False
CV Anggraini (Persero) Tbk,corporation,Partai Nasional Demokrat,political-party,2024-04-06,220343083,False,,220343083,1,220343083.0,,1.0,,1,1,434,434,220343083,1.0,False
Artanto Pratiwi,individual,Partai Keadilan Indonesia,political-party,2025-11-07,128051402,False,,128051402,1,128051402.0,,1.0,,1,1,422,422,128051402,1.0,False
PD Susanti,corporation,Partai Harapan Bangsa,political-party,2024-08-10,54818394,True,smurfing,17765464490,2,8882732245.0,12484555495.545498,1.0,119.0,2,2,436,436,17710646096,0.9969143281319294,False
Perum Anggraini (Persero) Tbk,corporation,"Drs. Tirtayasa Mandala, S.Pd",individual,2024-05-27,1325925261,True,proxy,1358988958,2,679494479.0,914191179.0398456,1.0,441.0,2,2,1,1,1325925261,0.9756703711201162,False
Jamalia Yuniar,individual,Partai Amanat Rakyat,political-party,2025-09-03,89344509,True,smurfing,89344509,1,89344509.0,,1.0,,1,1,411,411,89344509,1.0,False
Perum Yuliarti,organization,Partai Kebangkitan Rakyat,political-party,2024-08-13,469472497,True,proxy,2408304650,2,1204152325.0,1038994176.7595327,2.0,9.0,2,2,382,382,1938832153,0.8050610013147631,False
Pemerintah Desa Sukamulya,organization,"Ghani Tarihoran, S.Sos",individual,2025-03-16,4402809371,True,illegal_source,75108772118,13,5777597855.230769,8226485557.200155,1.0,52.583333333333336,10,10,1,1,19751787686,0.26297577671711714,False
Juli Susanti,individual,"KH. Jaeman Gunawan, S.IP",individual,2025-07-29,44321611,True,smurfing,147410312,2,73705156.0,41554607.849600144,1.0,380.0,2,2,1,1,103088701,0.6993316790483423,False
PD Tamba Yuliarti,corporation,"dr. Yoga Siregar, S.E.",individual,2025-03-18,16164999276,False,,16164999276,1,16164999276.0,,1.0,,1,1,1,1,16164999276,1.0,False
UD Sinaga (Persero) Tbk,organization,Partai Kebangkitan Rakyat,political-party,2024-12-19,503595603,False,,503595603,1,503595603.0,,1.0,,1,1,382,382,503595603,1.0,False
UD Mardhiyah,corporation,Partai Rakyat Sejahtera,political-party,2024-06-16,578263570,False,,55382372908,4,13845593227.0,9097977169.563276,1.0,114.33333333333333,4,4,404,404,21281469395,0.38426431150489554,False
CV Nashiruddin Tbk,corporation,"Nyoman Irawan, M.M.",individual,2024-05-01,5714692347,True,self_funded,6193466443,2,3096733221.5,3702353301.020508,1.0,22.0,2,2,1,1,5714692347,0.922696909653701,False
Perum Yolanda (Persero) Tbk,corporation,"Dt. Asirwada Saragih, S.E.",individual,2025-11-25,11063746373,True,self_funded,11063746373,1,11063746373.0,,1.0,,1,1,1,1,11063746373,1.0,False
"R.M. Dasa Wastuti, S.Ked",individual,Hamzah Budiman,individual,2024-10-20,1432842491,False,,1432842491,1,1432842491.0,,1.0,,1,1,1,1,1432842491,1.0,False
PT Haryanti Tbk,corporation,Partai Nasional Demokrat,political-party,2025-03-17,19976524,True,smurfing,160231504,2,80115752.0,85049711.86824778,1.0,269.0,2,2,434,434,140254980,0.8753271141984662,False
PD Sitompul (Persero) Tbk,corporation,Jaeman Gunarto,individual,2025-01-20,46700888,True,smurfing,46700888,1,46700888.0,,1.0,,1,1,1,1,46700888,1.0,False
Perum Agustina Nasyiah,corporation,Jaya Puspita,individual,2025-09-05,2680236959,False,,2680236959,1,2680236959.0,,1.0,,1,1,1,1,2680236959,1.0,False
Wira Kusmawati,individual,Partai Persatuan,political-party,2025-05-19,82301815,False,,82301815,1,82301815.0,,1.0,,1,1,415,415,82301815,1.0,False
CV Wahyuni Astuti (Persero) Tbk,corporation,"Gaduh Firmansyah, M.Pd",individual,2025-08-15,1364303160,True,proxy,1364303160,1,1364303160.0,,1.0,,1,1,1,1,1364303160,1.0,False
"Almira Nuraini, S.Ked",individual,Partai Persatuan,political-party,2024-11-23,70529565,True,smurfing,70529565,1,70529565.0,,1.0,,1,1,415,415,70529565,1.0,False
UD Marpaung,organization,Cut Dalima Simanjuntak,individual,2024-12-24,65795546,True,smurfing,470345289,2,235172644.5,239535389.85410362,1.0,241.0,2,2,1,1,404549743,0.860112246175809,False
PT Wasita,corporation,Yuni Maulana,individual,2024-10-28,17496865491,True,self_funded,17496865491,1,17496865491.0,,1.0,,1,1,1,1,17496865491,1.0,False
Perum Lestari Namaga Tbk,corporation,Partai Amanat Rakyat,political-party,2024-05-16,372233810,False,,372233810,1,372233810.0,,1.0,,1,1,411,411,372233810,1.0,False
Rahmat Nasyidah,individual,Partai Demokrat,political-party,2024-03-15,41305529,False,,41305529,1,41305529.0,,1.0,,1,1,429,429,41305529,1.0,False
dr. Marsito Wahyudin,individual,Partai Demokrat,political-party,2024-09-03,72757239,True,smurfing,72757239,1,72757239.0,,1.0,,1,1,429,429,72757239,1.0,False
PD Dongoran Anggraini,organization,Anastasia Kurniawan,individual,2025-05-29,25653551,True,proxy,25653551,1,25653551.0,,1.0,,1,1,1,1,25653551,1.0,False
CV Jailani Kusmawati,organization,Partai Persatuan,political-party,2024-01-20,1779223840,True,proxy,1779223840,1,1779223840.0,,1.0,,1,1,415,415,1779223840,1.0,False
PT Saefullah Hutapea Tbk,organization,Unjani Zulkarnain,individual,2025-12-20,60564395,True,smurfing,60564395,1,60564395.0,,1.0,,1,1,1,1,60564395,1.0,False
PD Puspasari Hutasoit (Persero) Tbk,corporation,Partai Amanat Rakyat,political-party,2024-11-04,1408157510,True,proxy,1408157510,1,1408157510.0,,1.0,,1,1,411,411,1408157510,1.0,True
PD Ramadan,organization,Partai Kebangkitan Rakyat,political-party,2025-09-10,292123861,False,,16087120172,3,5362373390.666667,7755568221.837579,1.0,188.0,3,3,382,382,14290327398,0.8883086124309957,False
"Tantri Irawan, S.T.",individual,Partai Solidaritas Indonesia,political-party,2025-06-10,61134876,False,,61134876,1,61134876.0,,1.0,,1,1,431,431,61134876,1.0,False
CV Usamah,organization,Partai Demokrat,political-party,2024-02-08,57593686,True,smurfing,12038391651,3,4012797217.0,6898771592.788884,2.0,221.0,3,3,429,429,11978747942,0.995045541736047,False
Dinda Sihotang,individual,Partai Keadilan Indonesia,political-party,2025-10-31,13360049,True,smurfing,13360049,1,13360049.0,,1.0,,1,1,422,422,13360049,1.0,False
"Karsa Gunawan, S.T.",individual,Asmuni Suryono,individual,2024-06-04,25666489,True,smurfing,25666489,1,25666489.0,,1.0,,1,1,1,1,25666489,1.0,False
PT Adriansyah Wijaya,corporation,Michelle Waluyo,individual,2025-08-12,20444076451,True,self_funded,20444076451,1,20444076451.0,,1.0,,1,1,1,1,20444076451,1.0,False
PD Hardiansyah,corporation,Among Mulyani,individual,2025-05-03,18961780716,True,self_funded,41052233521,3,13684077840.333334,8699620752.88164,1.0,117.5,3,3,1,1,18961780716,0.4618940089167189,False
"Drs. Paulin Lazuardi, S.Sos",individual,Partai Solidaritas Indonesia,political-party,2025-11-08,74379712,False,,74379712,1,74379712.0,,1.0,,1,1,431,431,74379712,1.0,False
Hj. Usyi Prayoga,individual,Partai Kebangkitan Rakyat,political-party,2024-08-08,125289679,False,,125289679,1,125289679.0,,1.0,,1,1,382,382,125289679,1.0,False
CV Dongoran Sihombing,corporation,Hasim Hariyah,individual,2025-02-24,4173221289,True,self_funded,4173221289,1,4173221289.0,,1.0,,1,1,1,1,4173221289,1.0,False
PT PLN (Persero),corporation,Partai Kebangkitan Rakyat,political-party,2024-08-23,601357746,True,illegal_source,70280474880,19,3698972362.105263,6617090875.724614,2.0,33.72222222222222,12,12,382,382,25129191104,0.35755579550233113,False
Perum Hartati Tbk,organization,Partai Kebangkitan Rakyat,political-party,2024-03-13,83644344,True,smurfing,43790074704,3,14596691568.0,12738538515.76945,1.0,228.0,3,3,382,382,23926608226,0.5463934096420809,False
Irma Narpati,individual,"Emil Wibisono, S.T.",individual,2025-07-25,1499696044,True,self_funded,1499696044,1,1499696044.0,,1.0,,1,1,1,1,1499696044,1.0,False
CV Mansur Permata,corporation,Salsabila Wastuti,individual,2024-05-15,20782575050,False,,20782575050,1,20782575050.0,,1.0,,1,1,1,1,20782575050,1.0,False
Perum Sitompul Tbk,corporation,Partai Indonesia Maju,political-party,2024-10-03,265339695,False,,763522803,2,381761401.5,164645156.28691992,1.0,374.0,2,2,411,411,498183108,0.6524796719136101,False
PD Kusmawati Prakasa,corporation,R. Genta Nasyidah,individual,2025-11-04,22119423888,True,self_funded,22119423888,1,22119423888.0,,1.0,,1,1,1,1,22119423888,1.0,False
"Sarah Halim, S.E.I",individual,Dipa Hidayat,individual,2025-06-08,2242700128,True,self_funded,2242700128,1,2242700128.0,,1.0,,1,1,1,1,2242700128,1.0,False
Hj. Farah Mandala,individual,Partai Demokrat,political-party,2024-10-30,44501591,False,,44501591,1,44501591.0,,1.0,,1,1,429,429,44501591,1.0,False
BUMN Mina Permai,corporation,Partai Solidaritas Indonesia,political-party,2025-07-23,644822606,True,illegal_source,163986504139,18,9110361341.055555,9676761529.307306,2.0,35.0,16,16,431,431,29934596541,0.18254304949160033,False
CV Kusumo,organization,"Cut Laras Kurniawan, S.Psi",individual,2024-06-09,1318589812,True,proxy,1318589812,1,1318589812.0,,1.0,,1,1,1,1,1318589812,1.0,False
CV Hasanah Prabowo (Persero) Tbk,corporation,"Ir. Novi Usada, S.Gz",individual,2024-03-05,20539639581,False,,20539639581,1,20539639581.0,,1.0,,1,1,1,1,20539639581,1.0,False
Perum Mayasari (Persero) Tbk,organization,Partai Nasional Demokrat,political-party,2024-12-26,16699377,True,smurfing,30805625556,4,7701406389.0,9504946439.858978,1.0,158.0,4,4,434,434,20085848709,0.6520188552083431,False
"Drs. Ira Simbolon, S.E.I",individual,"R. Rizki Maryati, S.E.I",individual,2024-06-08,59939758,True,smurfing,59939758,1,59939758.0,,1.0,,1,1,1,1,59939758,1.0,False
Arsipatra Suryono,individual,Luwar Ramadan,individual,2025-02-17,1455035242,True,self_funded,1455035242,1,1455035242.0,,1.0,,1,1,1,1,1455035242,1.0,False
UD Nugroho Wibisono,corporation,Partai Amanat Rakyat,political-party,2025-10-04,774141191,True,proxy,774141191,1,774141191.0,,1.0,,1,1,411,411,774141191,1.0,False
Karman Padmasari,individual,"Tgk. Jelita Najmudin, S.H.",individual,2025-04-08,1797546104,False,,1797546104,1,1797546104.0,,1.0,,1,1,1,1,1797546104,1.0,False
PT Kusumo,organization,Sarah Saefullah,individual,2024-08-08,336750686,True,proxy,1257529837,3,419176612.3333333,183165769.95253378,1.0,38.5,3,3,1,1,629073227,0.5002451699283219,False
PD Andriani Narpati Tbk,corporation,Partai Harapan Bangsa,political-party,2024-06-19,52336390,True,smurfing,52336390,1,52336390.0,,1.0,,1,1,436,436,52336390,1.0,False
UD Napitupulu Tarihoran (Persero) Tbk,corporation,"Hj. Gasti Kusumo, S.H.",individual,2025-05-06,31612992,True,smurfing,31612992,1,31612992.0,,1.0,,1,1,1,1,31612992,1.0,False
Sutan Pranata Marbun,individual,Partai Nasional Demokrat,political-party,2025-08-14,1354122,False,,1354122,1,1354122.0,,1.0,,1,1,434,434,1354122,1.0,False
CV Namaga Habibi,corporation,Partai Keadilan Indonesia,political-party,2025-12-05,94532769,True,smurfing,94532769,1,94532769.0,,1.0,,1,1,422,422,94532769,1.0,False
KH. Lanang Anggraini,individual,"Puti Jamalia Halimah, S.H.",individual,2025-03-04,2425771470,True,self_funded,2425771470,1,2425771470.0,,1.0,,1,1,1,1,2425771470,1.0,False
Rahmi Manullang,individual,"KH. Makuta Suryatmi, S.E.",individual,2025-03-25,28683357,True,smurfing,28683357,1,28683357.0,,1.0,,1,1,1,1,28683357,1.0,False
UD Tampubolon Pratiwi Tbk,corporation,Partai Persatuan,political-party,2024-12-14,217250781,False,,217250781,1,217250781.0,,1.0,,1,1,415,415,217250781,1.0,False
Tedi Novitasari,individual,Partai Solidaritas Indonesia,political-party,2025-02-28,118934700,False,,118934700,1,118934700.0,,1.0,,1,1,431,431,118934700,1.0,False
UD Pertiwi Mahendra (Persero) Tbk,organization,Bella Nasyiah,individual,2024-05-23,9592382,True,smurfing,9592382,1,9592382.0,,1.0,,1,1,1,1,9592382,1.0,False
PT Januar,corporation,Partai Solidaritas Indonesia,political-party,2024-05-28,144810638,False,,1852362635,4,463090658.75,450986614.65111,1.0,106.0,4,4,431,431,986417081,0.5325183429863343,False
Gina Namaga,individual,Perkasa Hakim,individual,2024-04-18,13203114,True,smurfing,13203114,1,13203114.0,,1.0,,1,1,2,2,13203114,1.0,False
PD Dabukke Tbk,corporation,Ina Kuswandari,individual,2025-11-30,21568489064,True,self_funded,22400229200,2,11200114600.0,14663095786.751669,1.0,101.0,2,2,1,1,21568489064,0.9628691238570005,False
PT Mustofa Mangunsong (Persero) Tbk,corporation,Partai Nasional Demokrat,political-party,2025-03-07,402569906,False,,402569906,1,402569906.0,,1.0,,1,1,434,434,402569906,1.0,False
"Puti Clara Sihombing, S.E.I",individual,Gasti Zulkarnain,individual,2025-05-31,1626431176,True,self_funded,1626431176,1,1626431176.0,,1.0,,1,1,1,1,1626431176,1.0,False
drg. Adiarja Pratama,individual,Padma Wacana,individual,2024-02-07,2200846127,True,self_funded,2200846127,1,2200846127.0,,1.0,,1,1,1,1,2200846127,1.0,False
Dr. Lasmono Januar,individual,Tantri Wasita,individual,2024-12-24,1691178066,False,,1691178066,1,1691178066.0,,1.0,,1,1,1,1,1691178066,1.0,False
PT Nurdiyanti Salahudin Tbk,corporation,Dr. Ajiman Pranowo,individual,2025-03-24,79267818,True,smurfing,79267818,1,79267818.0,,1.0,,1,1,1,1,79267818,1.0,False
PD Wasita Handayani (Persero) Tbk,corporation,Ir. Agnes Prasasta,individual,2025-11-16,55171665,True,smurfing,55171665,1,55171665.0,,1.0,,1,1,1,1,55171665,1.0,False
Artanto Suryono,individual,Almira Mansur,individual,2024-08-20,2291609643,True,self_funded,2291609643,1,2291609643.0,,1.0,,1,1,1,1,2291609643,1.0,False
"drg. Gasti Haryanti, S.Kom",individual,"Jessica Kurniawan, S.Farm",individual,2024-02-06,79186334,True,smurfing,79186334,1,79186334.0,,1.0,,1,1,1,1,79186334,1.0,False
CV Simanjuntak Suwarno,corporation,Dr. Nasab Putra,individual,2024-10-05,16651789733,True,self_funded,16651789733,1,16651789733.0,,1.0,,1,1,1,1,16651789733,1.0,False
UD Sinaga Tbk,corporation,Tiara Hassanah,individual,2025-07-31,4407706963,False,,4407706963,1,4407706963.0,,1.0,,1,1,1,1,4407706963,1.0,False
Yahya Wibisono,individual,Cawisadi Tampubolon,individual,2025-09-01,2294146207,True,self_funded,2294146207,1,2294146207.0,,1.0,,1,1,1,1,2294146207,1.0,False
"Sarah Manullang, S.Sos",individual,Partai Demokrat,political-party,2024-04-20,21536316,False,,21536316,1,21536316.0,,1.0,,1,1,429,429,21536316,1.0,False
PT Namaga Natsir (Persero) Tbk,organization,"Dt. Eka Namaga, S.Gz",individual,2024-11-21,1654015488,True,proxy,1654015488,1,1654015488.0,,1.0,,1,1,1,1,1654015488,1.0,False
UD Prabowo,corporation,"R. Jelita Yolanda, M.Farm",individual,2024-07-20,6384689057,True,self_funded,8302488389,3,2767496129.6666665,3199782019.7690334,1.0,248.5,3,3,1,1,6384689057,0.7690090919559851,False
Perum Namaga Dabukke (Persero) Tbk,corporation,Partai Keadilan Indonesia,political-party,2025-08-27,425771379,False,,425771379,1,425771379.0,,1.0,,1,1,422,422,425771379,1.0,False
Hendri Hidayanto,individual,Ir. Wisnu Mulyani,individual,2025-12-09,48944894,False,,48944894,1,48944894.0,,1.0,,1,1,1,1,48944894,1.0,False
CV Yuliarti (Persero) Tbk,corporation,Partai Keadilan Indonesia,political-party,2025-09-21,377391415,False,,377391415,1,377391415.0,,1.0,,1,1,422,422,377391415,1.0,False
PD Dongoran (Persero) Tbk,corporation,Septi Nashiruddin,individual,2024-09-16,10728300223,False,,20988176111,2,10494088055.5,331226023.751299,1.0,254.0,2,2,1,1,10728300223,0.5111592434836321,False
Wadi Hidayat,individual,"Victoria Halimah, S.H.",individual,2025-12-18,2089512792,True,self_funded,2089512792,1,2089512792.0,,1.0,,1,1,1,1,2089512792,1.0,False
PT Mayasari Manullang (Persero) Tbk,corporation,Kemal Nuraini,individual,2024-11-14,23046072534,True,self_funded,23046072534,1,23046072534.0,,1.0,,1,1,1,1,23046072534,1.0,False
CV Rahmawati Suartini Tbk,corporation,Siti Astuti,individual,2024-07-22,21484106244,True,self_funded,21484106244,1,21484106244.0,,1.0,,1,1,1,1,21484106244,1.0,False
UD Hutapea,corporation,"Wulan Prasetya, S.Pt",individual,2024-09-11,1313189702,True,proxy,2459307730,4,614826932.5,581798724.2282951,1.0,154.66666666666666,4,4,1,1,1313189702,0.5339672160506729,False
CV Wibisono Kurniawan,corporation,Partai Solidaritas Indonesia,political-party,2025-10-14,219608680,False,,219608680,1,219608680.0,,1.0,,1,1,431,431,219608680,1.0,False
UD Prasetya Handayani Tbk,organization,Partai Rakyat Sejahtera,political-party,2024-10-12,1296422150,True,proxy,1296422150,1,1296422150.0,,1.0,,1,1,404,404,1296422150,1.0,False
Oman Aryani,individual,Nadine Mandasari,individual,2025-04-24,538998196,False,,538998196,1,538998196.0,,1.0,,1,1,2,2,538998196,1.0,False
PD Dongoran,corporation,Partai Solidaritas Indonesia,political-party,2024-01-02,361185811,False,,958573632,3,319524544.0,154645467.56646723,1.0,190.0,1,1,431,431,958573632,1.0,False
PD Budiyanto Saefullah Tbk,organization,Caket Prayoga,individual,2024-05-17,764094383,True,proxy,764094383,1,764094383.0,,1.0,,1,1,1,1,764094383,1.0,False
PT Suryatmi (Persero) Tbk,corporation,Partai Solidaritas Indonesia,political-party,2025-01-08,389894422,False,,1900318104,3,633439368.0,256105592.23241332,1.0,140.5,3,3,431,431,900485613,0.4738604611009905,False
"Cemplunk Hidayat, M.M.",individual,Gabriella Tarihoran,individual,2024-12-06,1180130326,True,self_funded,1180130326,1,1180130326.0,,1.0,,1,1,1,1,1180130326,1.0,False
PT Maheswara,corporation,Syahrini Ramadan,individual,2024-12-25,20769603168,False,,20769603168,1,20769603168.0,,1.0,,1,1,1,1,20769603168,1.0,False
PT Budiman (Persero) Tbk,organization,Partai Kebangkitan Rakyat,political-party,2024-10-21,99613930,True,smurfing,99613930,1,99613930.0,,1.0,,1,1,382,382,99613930,1.0,False
PD Utami Lestari Tbk,corporation,Nadine Prasetya,individual,2025-10-20,6803874467,False,,6803874467,1,6803874467.0,,1.0,,1,1,1,1,6803874467,1.0,False
"Karen Situmorang, S.Pt",individual,Partai Keadilan Indonesia,political-party,2025-10-16,153300276,False,,153300276,1,153300276.0,,1.0,,1,1,422,422,153300276,1.0,False
Humaira Palastri,individual,Partai Indonesia Maju,political-party,2025-02-08,11983675,False,,11983675,1,11983675.0,,1.0,,1,1,411,411,11983675,1.0,False
CV Oktaviani Tbk,organization,Partai Indonesia Maju,political-party,2025-08-17,149116578,False,,149116578,1,149116578.0,,1.0,,1,1,411,411,149116578,1.0,False
"Kani Sihotang, S.I.Kom",individual,Partai Amanat Rakyat,political-party,2024-09-24,155305912,False,,155305912,1,155305912.0,,1.0,,1,1,411,411,155305912,1.0,False
"Puput Nainggolan, S.Kom",individual,Partai Demokrat,political-party,2024-01-11,84863471,False,,84863471,1,84863471.0,,1.0,,1,1,429,429,84863471,1.0,False
"Gina Wibisono, S.Farm",individual,Farhunnisa Susanti,individual,2024-12-08,56268712,False,,56268712,1,56268712.0,,1.0,,1,1,1,1,56268712,1.0,False
Bala Wulandari,individual,Partai Demokrat,political-party,2025-03-05,17353030,True,smurfing,17353030,1,17353030.0,,1.0,,1,1,429,429,17353030,1.0,False
Kajen Napitupulu,individual,Halima Marpaung,individual,2025-06-20,471211714,False,,471211714,1,471211714.0,,1.0,,1,1,1,1,471211714,1.0,False
Opung Widodo,individual,"Tgk. Elon Halim, S.E.",individual,2025-11-15,1430200110,True,self_funded,1430200110,1,1430200110.0,,1.0,,1,1,1,1,1430200110,1.0,False
"Jaya Prasetyo, S.IP",individual,Partai Persatuan,political-party,2024-09-28,368793608,True,over_limit,368793608,1,368793608.0,,1.0,,1,1,415,415,368793608,1.0,True
"Laras Rajasa, S.I.Kom",individual,Partai Nasional Demokrat,political-party,2024-07-14,19786336,False,,19786336,1,19786336.0,,1.0,,1,1,434,434,19786336,1.0,False
PT Yuniar,corporation,Diana Hariyah,individual,2024-05-21,34366794515,True,over_limit,35618202670,3,11872734223.333334,19488710416.81173,1.0,292.0,3,3,1,1,34366794515,0.9648660499072846,True
Mala Pradipta,individual,Yusuf Mulyani,individual,2025-05-05,1005897797,False,,1005897797,1,1005897797.0,,1.0,,1,1,1,1,1005897797,1.0,False
CV Maheswara,corporation,Gandi Utama,individual,2024-09-16,7044467705,False,,7044467705,1,7044467705.0,,1.0,,1,1,1,1,7044467705,1.0,False
